番号	分野	問題	URL
47	動的計画法：区間 DP	JOI 2015 本選 2 - ケーキの切り分け 2	https://atcoder.jp/contests/joi2015ho/tasks/joi2015ho_b
48	動的計画法：区間 DP	AOJ 1611 ダルマ落とし	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=1611&lang=jp
49	動的計画法：bit DP	DPL_2_A - 巡回セールスマン問題	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=DPL_2_A&lang=ja
50	動的計画法：bit DP	Square869120Contest #1 G - Revenge of Traveling Salesman Problem	https://atcoder.jp/contests/s8pc-1/tasks/s8pc_1_g
51	動的計画法：bit DP	JOI 2014 予選 4 - 部活のスケジュール表	https://atcoder.jp/contests/joi2014yo/tasks/joi2014yo_d
52	動的計画法：bit DP	JOI 2017 予選 4 - ぬいぐるみの整理	https://atcoder.jp/contests/joi2017yo/tasks/joi2017yo_d
53	動的計画法：その他	DPL_1_D - 最長増加部分列	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=DPL_1_D&lang=ja
54	動的計画法：その他	AtCoder Beginner Contest 006 D - トランプ挿入ソート	https://atcoder.jp/contests/abc006/tasks/abc006_4
55	動的計画法：その他	AtCoder Beginner Contest 134 E - Sequence Decomposing	https://atcoder.jp/contests/abc134/tasks/abc134_e
56	最短経路問題：ダイクストラ法	GRL_1_A - 単一始点最短経路	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=GRL_1_A&lang=ja
57	最短経路問題：ダイクストラ法	JOI 2008 予選 6 - 船旅	https://atcoder.jp/contests/joi2008yo/tasks/joi2008yo_f
58	最短経路問題：ダイクストラ法	JOI 2016 予選 5 - ゾンビ島	https://atcoder.jp/contests/joi2016yo/tasks/joi2016yo_e
59	最短経路問題：ダイクストラ法	JOI 2014 予選 5 - タクシー	https://atcoder.jp/contests/joi2014yo/tasks/joi2014yo_e
60	最短経路問題：ワーシャルフロイド法	GRL_1_C - 全点対間最短経路	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=GRL_1_C&lang=ja
61	最短経路問題：ワーシャルフロイド法	AtCoder Beginner Contest 012 D - バスと避けられない運命	https://atcoder.jp/contests/abc012/tasks/abc012_4
62	最短経路問題：ワーシャルフロイド法	AtCoder Beginner Contest 079 D - Wall	https://atcoder.jp/contests/abc079/tasks/abc079_d
63	最短経路問題：ワーシャルフロイド法	AtCoder Beginner Contest 074 D - Restoring Road Network	https://atcoder.jp/contests/abc074/tasks/arc083_b
64	最小全域木問題	GRL_2_A - 最小全域木	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=GRL_2_A&lang=ja
65	最小全域木問題	JOI 2010 春合宿 - Finals	https://atcoder.jp/contests/joisc2010/tasks/joisc2010_finals
66	最小全域木問題	AOJ 1127 - Building a Space Station	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=1127
67	最小全域木問題	AtCoder Beginner Contest 065 D - Built?	https://atcoder.jp/contests/abc065/tasks/arc076_b
68	高速な素数判定法	NTL_1_A - 素因数分解	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=NTL_1_A&lang=ja
69	高速な素数判定法	AtCoder Beginner Contest 084 D - 2017-like Number	https://atcoder.jp/contests/abc084/tasks/abc084_d
70	高速なべき乗計算	NTL_1_B - べき乗	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=NTL_1_B&lang=ja
71	高速なべき乗計算	Square869120Contest #1 E - 散歩	https://atcoder.jp/contests/s8pc-1/tasks/s8pc_1_e
72	逆元を使う問題	AtCoder Beginner Contest 034 C - 経路	https://atcoder.jp/contests/abc034/tasks/abc034_c
73	逆元を使う問題	AtCoder Beginner Contest 145 D - Knight	https://atcoder.jp/contests/abc145/tasks/abc145_d
74	逆元を使う問題	AtCoder Beginner Contest 021 D - 多重ループ	https://atcoder.jp/contests/abc021/tasks/abc021_d
75	逆元を使う問題	AtCoder Beginner Contest 149 F - Surrounded Nodes	https://atcoder.jp/contests/abc149/tasks/abc149_f
76	累積和	全国統一プログラミング王決定戦本戦 A - Abundant Resources	https://atcoder.jp/contests/nikkei2019-final/tasks/nikkei2019_final_a
77	累積和	JOI 2010 本選 1 - 旅人	https://atcoder.jp/contests/joi2010ho/tasks/joi2010ho_a
78	累積和	JOI 2011 本選 1 - 惑星探査	https://atcoder.jp/contests/joi2011ho/tasks/joi2011ho1
